Category,Value,Base,Result,Frequency
Syntagm Type,ADJP,3,1,33.33%
Syntagm Type,ADVP,4,1,25.00%
Syntagm Type,NP,190,83,43.68%
Syntagm Type,PP,64,18,28.12%
Syntagm Type,PRT,1,0,0.00%
Syntagm Type,QP,2,0,0.00%
Syntagm Type,SBAR,26,16,61.54%
Syntagm Type,VP,54,30,55.56%
Syntagm Type,WHADVP,3,2,66.67%
Syntagm Type,WHNP,6,3,50.00%
Granularity,chunk,142,54,38.03%
Granularity,clause,3,2,66.67%
Granularity,minimal,208,98,47.12%
Sentence Index,0,249,85,34.14%
Sentence Index,1,41,26,63.41%
Sentence Index,2,41,28,68.29%
Sentence Index,3,11,7,63.64%
Sentence Index,4,7,4,57.14%
Sentence Index,5,1,1,100.00%
Sentence Index,6,1,1,100.00%
Sentence Index,7,2,2,100.00%
