Category,Value,Base,Result,Frequency
Syntagm Type,ADJP,3,1,33.33%
Syntagm Type,ADVP,4,1,25.00%
Syntagm Type,NP,190,82,43.16%
Syntagm Type,PP,64,17,26.56%
Syntagm Type,PRT,1,0,0.00%
Syntagm Type,QP,2,0,0.00%
Syntagm Type,SBAR,26,15,57.69%
Syntagm Type,VP,54,31,57.41%
Syntagm Type,WHADVP,3,2,66.67%
Syntagm Type,WHNP,6,2,33.33%
Granularity,chunk,142,55,38.73%
Granularity,clause,3,2,66.67%
Granularity,minimal,208,94,45.19%
Sentence Index,0,249,81,32.53%
Sentence Index,1,41,23,56.10%
Sentence Index,2,41,31,75.61%
Sentence Index,3,11,7,63.64%
Sentence Index,4,7,5,71.43%
Sentence Index,5,1,1,100.00%
Sentence Index,6,1,1,100.00%
Sentence Index,7,2,2,100.00%
