Sentence Index,Original Sentence,Removed Part,Type,Granularity,Resulting Prompt,Final Prompt
0,"Generate <language> code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.",code,NP,minimal,"Generate <language> for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.","Generate Python for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page."
0,"Generate <language> code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.",for the following,PP,chunk,"Generate <language> code : 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.","Generate Python code : 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page."
0,"Generate <language> code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.",the following,NP,minimal,"Generate <language> code for : 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.","Generate Python code for : 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page."
0,"Generate <language> code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.",The user,NP,minimal,"Generate <language> code for the following: 
 enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.name is stored in the variable username.The buy order is inserted into the database. is redirected to the profile page.","Generate Python code for the following: 
 enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.name is stored in the variable username.The buy order is inserted into the database. is redirected to the profile page."
0,"Generate <language> code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.",enters the stock name,VP,chunk,"Generate <language> code for the following: 
 The user and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.","Generate Python code for the following: 
 The user and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page."
0,"Generate <language> code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.",the stock name,NP,minimal,"Generate <language> code for the following: 
 The user enters and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.","Generate Python code for the following: 
 The user enters and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page."
0,"Generate <language> code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.",quantity,NP,minimal,"Generate <language> code for the following: 
 The user enters the stock name and in the form.The stock name and are stored in the variables stock_name and stock_.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.","Generate Python code for the following: 
 The user enters the stock name and in the form.The stock name and are stored in the variables stock_name and stock_.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page."
0,"Generate <language> code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.",in the form.The stock name,PP,chunk,"Generate <language> code for the following: 
 The user enters the stock name and quantity and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.","Generate Python code for the following: 
 The user enters the stock name and quantity and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page."
0,"Generate <language> code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.",the form.The stock name,NP,minimal,"Generate <language> code for the following: 
 The user enters the stock name and quantity in and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.","Generate Python code for the following: 
 The user enters the stock name and quantity in and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page."
0,"Generate <language> code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.",quantity,NP,minimal,"Generate <language> code for the following: 
 The user enters the stock name and in the form.The stock name and are stored in the variables stock_name and stock_.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.","Generate Python code for the following: 
 The user enters the stock name and in the form.The stock name and are stored in the variables stock_name and stock_.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page."
0,"Generate <language> code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.",the variables,NP,minimal,"Generate <language> code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.","Generate Python code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page."
0,"Generate <language> code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.",stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user,SBAR,minimal,"Generate <language> code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables is redirected to the profile page.","Generate Python code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables is redirected to the profile page."
0,"Generate <language> code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.",stock_name and stock_quantity.The username,NP,chunk,"Generate <language> code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.","Generate Python code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page."
0,"Generate <language> code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.",stock_name,ADJP,minimal,"Generate <language> code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.","Generate Python code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page."
0,"Generate <language> code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored in the variable username.The buy order is inserted into the database.The user is redirected to the profile page.",in the variable username.The buy order,PP,chunk,"Generate <language> code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored is inserted into the database.The user is redirected to the profile page.","Generate Python code for the following: 
 The user enters the stock name and quantity in the form.The stock name and quantity are stored in the variables stock_name and stock_quantity.The username is stored is inserted into the database.The user is redirected to the profile page."
