Sentence Index,Original Sentence,Removed Part,Type,Granularity,Resulting Prompt,Final Prompt
0,"Generate <language> code for the following: 
 The function check_mod() is called when the user visits the URL /check_mod.",code,NP,minimal,"Generate <language> for the following: 
 The function check_mod() is called when the user visits the URL /check_mod. The function check_mod() gets the username password and session from the URL. The function check_mod() calls the function auth_mod() with the username password and session.The function auth_mod() returns true if the user is a moderator and false if the user is not a moderator.","Generate Python for the following: 
 The function check_mod() is called when the user visits the URL /check_mod. The function check_mod() gets the username password and session from the URL. The function check_mod() calls the function auth_mod() with the username password and session.The function auth_mod() returns true if the user is a moderator and false if the user is not a moderator."
0,"Generate <language> code for the following: 
 The function check_mod() is called when the user visits the URL /check_mod.",for the following,PP,chunk,"Generate <language> code : 
 The function check_mod() is called when the user visits the URL /check_mod. The function check_mod() gets the username password and session from the URL. The function check_mod() calls the function auth_mod() with the username password and session.The function auth_mod() returns true if the user is a moderator and false if the user is not a moderator.","Generate Python code : 
 The function check_mod() is called when the user visits the URL /check_mod. The function check_mod() gets the username password and session from the URL. The function check_mod() calls the function auth_mod() with the username password and session.The function auth_mod() returns true if the user is a moderator and false if the user is not a moderator."
0,"Generate <language> code for the following: 
 The function check_mod() is called when the user visits the URL /check_mod.",the following,NP,minimal,"Generate <language> code for : 
 The function check_mod() is called when the user visits the URL /check_mod. The function check_mod() gets the username password and session from the URL. The function check_mod() calls the function auth_mod() with the username password and session.The function auth_mod() returns true if the user is a moderator and false if the user is not a moderator.","Generate Python code for : 
 The function check_mod() is called when the user visits the URL /check_mod. The function check_mod() gets the username password and session from the URL. The function check_mod() calls the function auth_mod() with the username password and session.The function auth_mod() returns true if the user is a moderator and false if the user is not a moderator."
0,"Generate <language> code for the following: 
 The function check_mod() is called when the user visits the URL /check_mod.",The function check_mod,NP,chunk,"Generate <language> code for the following: 
 () is called when the user visits the URL /check_mod. () gets the username password and session from the URL. () calls the function auth_mod() with the username password and session.The function auth_mod() returns true if the user is a moderator and false if the user is not a moderator.","Generate Python code for the following: 
 () is called when the user visits the URL /check_mod. () gets the username password and session from the URL. () calls the function auth_mod() with the username password and session.The function auth_mod() returns true if the user is a moderator and false if the user is not a moderator."
0,"Generate <language> code for the following: 
 The function check_mod() is called when the user visits the URL /check_mod.",The function,NP,minimal,"Generate <language> code for the following: 
 check_mod() is called when the user visits the URL /check_mod. check_mod() gets the username password and session from the URL. check_mod() calls the function auth_mod() with the username password and session. auth_mod() returns true if the user is a moderator and false if the user is not a moderator.","Generate Python code for the following: 
 check_mod() is called when the user visits the URL /check_mod. check_mod() gets the username password and session from the URL. check_mod() calls the function auth_mod() with the username password and session. auth_mod() returns true if the user is a moderator and false if the user is not a moderator."
0,"Generate <language> code for the following: 
 The function check_mod() is called when the user visits the URL /check_mod.",check_mod,NP,minimal,"Generate <language> code for the following: 
 The function () is called when the user visits the URL /. The function () gets the username password and session from the URL. The function () calls the function auth_mod() with the username password and session.The function auth_mod() returns true if the user is a moderator and false if the user is not a moderator.","Generate Python code for the following: 
 The function () is called when the user visits the URL /. The function () gets the username password and session from the URL. The function () calls the function auth_mod() with the username password and session.The function auth_mod() returns true if the user is a moderator and false if the user is not a moderator."
0,"Generate <language> code for the following: 
 The function check_mod() is called when the user visits the URL /check_mod.",when the user visits the URL /check_mod,SBAR,chunk,"Generate <language> code for the following: 
 The function check_mod() is called . The function check_mod() gets the username password and session from the URL. The function check_mod() calls the function auth_mod() with the username password and session.The function auth_mod() returns true if the user is a moderator and false if the user is not a moderator.","Generate Python code for the following: 
 The function check_mod() is called . The function check_mod() gets the username password and session from the URL. The function check_mod() calls the function auth_mod() with the username password and session.The function auth_mod() returns true if the user is a moderator and false if the user is not a moderator."
0,"Generate <language> code for the following: 
 The function check_mod() is called when the user visits the URL /check_mod.",when,WHADVP,minimal,"Generate <language> code for the following: 
 The function check_mod() is called the user visits the URL /check_mod. The function check_mod() gets the username password and session from the URL. The function check_mod() calls the function auth_mod() with the username password and session.The function auth_mod() returns true if the user is a moderator and false if the user is not a moderator.","Generate Python code for the following: 
 The function check_mod() is called the user visits the URL /check_mod. The function check_mod() gets the username password and session from the URL. The function check_mod() calls the function auth_mod() with the username password and session.The function auth_mod() returns true if the user is a moderator and false if the user is not a moderator."
0,"Generate <language> code for the following: 
 The function check_mod() is called when the user visits the URL /check_mod.",the user,NP,minimal,"Generate <language> code for the following: 
 The function check_mod() is called when visits the URL /check_mod. The function check_mod() gets name password and session from the URL. The function check_mod() calls the function auth_mod() with name password and session.The function auth_mod() returns true if is a moderator and false if is not a moderator.","Generate Python code for the following: 
 The function check_mod() is called when visits the URL /check_mod. The function check_mod() gets name password and session from the URL. The function check_mod() calls the function auth_mod() with name password and session.The function auth_mod() returns true if is a moderator and false if is not a moderator."
0,"Generate <language> code for the following: 
 The function check_mod() is called when the user visits the URL /check_mod.",visits the URL /check_mod,VP,chunk,"Generate <language> code for the following: 
 The function check_mod() is called when the user . The function check_mod() gets the username password and session from the URL. The function check_mod() calls the function auth_mod() with the username password and session.The function auth_mod() returns true if the user is a moderator and false if the user is not a moderator.","Generate Python code for the following: 
 The function check_mod() is called when the user . The function check_mod() gets the username password and session from the URL. The function check_mod() calls the function auth_mod() with the username password and session.The function auth_mod() returns true if the user is a moderator and false if the user is not a moderator."
