Sentence Index,Original Sentence,Removed Part,Type,Granularity,Resulting Prompt
0,Generate <language> code for the following:  The code is a simple login page that takes a username and password and checks if the username and password are in the database.,code for the following,NP,chunk,Generate <language> : The code is a simple login page that takes a username and password and checks if the username and password are in the database. If they are; it redirects to success. If they are not it redirects to cant_login. If there is an error it redirects to internal_server_error.
0,Generate <language> code for the following:  The code is a simple login page that takes a username and password and checks if the username and password are in the database.,code,NP,minimal,Generate <language> for the following: The is a simple login page that takes a username and password and checks if the username and password are in the database. If they are; it redirects to success. If they are not it redirects to cant_login. If there is an error it redirects to internal_server_error.
0,Generate <language> code for the following:  The code is a simple login page that takes a username and password and checks if the username and password are in the database.,for the following,PP,chunk,Generate <language> code : The code is a simple login page that takes a username and password and checks if the username and password are in the database. If they are; it redirects to success. If they are not it redirects to cant_login. If there is an error it redirects to internal_server_error.
0,Generate <language> code for the following:  The code is a simple login page that takes a username and password and checks if the username and password are in the database.,the following,NP,minimal,Generate <language> code for : The code is a simple login page that takes a username and password and checks if the username and password are in the database. If they are; it redirects to success. If they are not it redirects to cant_login. If there is an error it redirects to internal_server_error.
0,Generate <language> code for the following:  The code is a simple login page that takes a username and password and checks if the username and password are in the database.,The code,NP,minimal,Generate <language> code for the following:  is a simple login page that takes a username and password and checks if the username and password are in the database. If they are; it redirects to success. If they are not it redirects to cant_login. If there is an error it redirects to internal_server_error.
0,Generate <language> code for the following:  The code is a simple login page that takes a username and password and checks if the username and password are in the database.,a simple login page,NP,minimal,Generate <language> code for the following: The code is that takes a username and password and checks if the username and password are in the database. If they are; it redirects to success. If they are not it redirects to cant_login. If there is an error it redirects to internal_server_error.
0,Generate <language> code for the following:  The code is a simple login page that takes a username and password and checks if the username and password are in the database.,that takes a username and password and checks if the username and password are in the database,SBAR,clause,Generate <language> code for the following: The code is a simple login page . If they are; it redirects to success. If they are not it redirects to cant_login. If there is an error it redirects to internal_server_error.
0,Generate <language> code for the following:  The code is a simple login page that takes a username and password and checks if the username and password are in the database.,that,WHNP,minimal,Generate <language> code for the following: The code is a simple login page takes a username and password and checks if the username and password are in the database. If they are; it redirects to success. If they are not it redirects to cant_login. If there is an error it redirects to internal_server_error.
0,Generate <language> code for the following:  The code is a simple login page that takes a username and password and checks if the username and password are in the database.,a username and password and checks,NP,minimal,Generate <language> code for the following: The code is a simple login page that takes if the username and password are in the database. If they are; it redirects to success. If they are not it redirects to cant_login. If there is an error it redirects to internal_server_error.
0,Generate <language> code for the following:  The code is a simple login page that takes a username and password and checks if the username and password are in the database.,if the username and password are in the database,SBAR,minimal,Generate <language> code for the following: The code is a simple login page that takes a username and password and checks . If they are; it redirects to success. If they are not it redirects to cant_login. If there is an error it redirects to internal_server_error.
0,Generate <language> code for the following:  The code is a simple login page that takes a username and password and checks if the username and password are in the database.,the username and password,NP,minimal,Generate <language> code for the following: The code is a simple login page that takes a username and password and checks if are in the database. If they are; it redirects to success. If they are not it redirects to cant_login. If there is an error it redirects to internal_server_error.
0,Generate <language> code for the following:  The code is a simple login page that takes a username and password and checks if the username and password are in the database.,are in the database,VP,chunk,Generate <language> code for the following: The code is a simple login page that takes a username and password and checks if the username and password . If they are; it redirects to success. If they are not it redirects to cant_login. If there is an error it redirects to internal_server_error.
0,Generate <language> code for the following:  The code is a simple login page that takes a username and password and checks if the username and password are in the database.,in the database,PP,chunk,Generate <language> code for the following: The code is a simple login page that takes a username and password and checks if the username and password are . If they are; it redirects to success. If they are not it redirects to cant_login. If there is an error it redirects to internal_server_error.
0,Generate <language> code for the following:  The code is a simple login page that takes a username and password and checks if the username and password are in the database.,the database,NP,minimal,Generate <language> code for the following: The code is a simple login page that takes a username and password and checks if the username and password are in . If they are; it redirects to success. If they are not it redirects to cant_login. If there is an error it redirects to internal_server_error.
1,If they are; it redirects to success.,If they are,SBAR,minimal,Generate <language> code for the following: The code is a simple login page that takes a username and password and checks if the username and password are in the database. ; it redirects to success. not it redirects to cant_login. If there is an error it redirects to internal_server_error.
1,If they are; it redirects to success.,they,NP,minimal,Generate <language> code for the following: The code is a simple login page that takes a username and password and checks if the username and password are in the database. If are; it redirects to success. If are not it redirects to cant_login. If there is an error it redirects to internal_server_error.
1,If they are; it redirects to success.,are,VP,minimal,Generate <language> code for the following: The code is a simple login page that takes a username and password and checks if the username and password in the database. If they ; it redirects to success. If they not it redirects to cant_login. If there is an error it redirects to internal_server_error.
1,If they are; it redirects to success.,it,NP,minimal,Generate <language> code for the following: The code is a simple login page that takes a username and password and checks if the username and password are in the database. If they are; redirects to success. If they are not redirects to cant_login. If there is an error redirects to internal_server_error.
1,If they are; it redirects to success.,redirects to success,VP,chunk,Generate <language> code for the following: The code is a simple login page that takes a username and password and checks if the username and password are in the database. If they are; it . If they are not it redirects to cant_login. If there is an error it redirects to internal_server_error.
1,If they are; it redirects to success.,to success,PP,chunk,Generate <language> code for the following: The code is a simple login page that takes a username and password and checks if the username and password are in the database. If they are; it redirects . If they are not it redirects to cant_login. If there is an error it redirects to internal_server_error.
1,If they are; it redirects to success.,success,NP,minimal,Generate <language> code for the following: The code is a simple login page that takes a username and password and checks if the username and password are in the database. If they are; it redirects to . If they are not it redirects to cant_login. If there is an error it redirects to internal_server_error.
2,If they are not it redirects to cant_login.,If they are not,SBAR,minimal,Generate <language> code for the following: The code is a simple login page that takes a username and password and checks if the username and password are in the database. If they are; it redirects to success. it redirects to cant_login. If there is an error it redirects to internal_server_error.
2,If they are not it redirects to cant_login.,they,NP,minimal,Generate <language> code for the following: The code is a simple login page that takes a username and password and checks if the username and password are in the database. If are; it redirects to success. If are not it redirects to cant_login. If there is an error it redirects to internal_server_error.
2,If they are not it redirects to cant_login.,it,NP,minimal,Generate <language> code for the following: The code is a simple login page that takes a username and password and checks if the username and password are in the database. If they are; redirects to success. If they are not redirects to cant_login. If there is an error redirects to internal_server_error.
2,If they are not it redirects to cant_login.,redirects to cant_login,VP,chunk,Generate <language> code for the following: The code is a simple login page that takes a username and password and checks if the username and password are in the database. If they are; it redirects to success. If they are not it . If there is an error it redirects to internal_server_error.
2,If they are not it redirects to cant_login.,to cant_login,PP,chunk,Generate <language> code for the following: The code is a simple login page that takes a username and password and checks if the username and password are in the database. If they are; it redirects to success. If they are not it redirects . If there is an error it redirects to internal_server_error.
