Sentence Index,Original Sentence,Removed Part,Type,Granularity,Resulting Prompt
0,"Generate <language> code for the following: 
 Connect to the database using the credentials stored in the environment variables.Execute a query to check if the user is a moderator.Return True if the user is a moderator False otherwise.",code,NP,minimal,"Generate <language> for the following: 
 Connect to the database using the credentials stored in the environment variables.Execute a query to check if the user is a moderator.Return True if the user is a moderator False otherwise."
0,"Generate <language> code for the following: 
 Connect to the database using the credentials stored in the environment variables.Execute a query to check if the user is a moderator.Return True if the user is a moderator False otherwise.",for the following,PP,chunk,"Generate <language> code : 
 Connect to the database using the credentials stored in the environment variables.Execute a query to check if the user is a moderator.Return True if the user is a moderator False otherwise."
0,"Generate <language> code for the following: 
 Connect to the database using the credentials stored in the environment variables.Execute a query to check if the user is a moderator.Return True if the user is a moderator False otherwise.",the following,NP,minimal,"Generate <language> code for : 
 Connect to the database using the credentials stored in the environment variables.Execute a query to check if the user is a moderator.Return True if the user is a moderator False otherwise."
0,"Generate <language> code for the following: 
 Connect to the database using the credentials stored in the environment variables.Execute a query to check if the user is a moderator.Return True if the user is a moderator False otherwise.",to the database,PP,chunk,"Generate <language> code for the following: 
 Connect using the credentials stored in the environment variables.Execute a query to check if the user is a moderator.Return True if the user is a moderator False otherwise."
0,"Generate <language> code for the following: 
 Connect to the database using the credentials stored in the environment variables.Execute a query to check if the user is a moderator.Return True if the user is a moderator False otherwise.",the database,NP,minimal,"Generate <language> code for the following: 
 Connect to using the credentials stored in the environment variables.Execute a query to check if the user is a moderator.Return True if the user is a moderator False otherwise."
0,"Generate <language> code for the following: 
 Connect to the database using the credentials stored in the environment variables.Execute a query to check if the user is a moderator.Return True if the user is a moderator False otherwise.",using the credentials stored in the environment,VP,chunk,"Generate <language> code for the following: 
 Connect to the database variables.Execute a query to check if the user is a moderator.Return True if the user is a moderator False otherwise."
0,"Generate <language> code for the following: 
 Connect to the database using the credentials stored in the environment variables.Execute a query to check if the user is a moderator.Return True if the user is a moderator False otherwise.",the credentials stored in the environment,NP,chunk,"Generate <language> code for the following: 
 Connect to the database using variables.Execute a query to check if the user is a moderator.Return True if the user is a moderator False otherwise."
0,"Generate <language> code for the following: 
 Connect to the database using the credentials stored in the environment variables.Execute a query to check if the user is a moderator.Return True if the user is a moderator False otherwise.",the credentials,NP,minimal,"Generate <language> code for the following: 
 Connect to the database using stored in the environment variables.Execute a query to check if the user is a moderator.Return True if the user is a moderator False otherwise."
0,"Generate <language> code for the following: 
 Connect to the database using the credentials stored in the environment variables.Execute a query to check if the user is a moderator.Return True if the user is a moderator False otherwise.",stored in the environment,VP,chunk,"Generate <language> code for the following: 
 Connect to the database using the credentials variables.Execute a query to check if the user is a moderator.Return True if the user is a moderator False otherwise."
0,"Generate <language> code for the following: 
 Connect to the database using the credentials stored in the environment variables.Execute a query to check if the user is a moderator.Return True if the user is a moderator False otherwise.",in the environment,PP,chunk,"Generate <language> code for the following: 
 Connect to the database using the credentials stored variables.Execute a query to check if the user is a moderator.Return True if the user is a moderator False otherwise."
