Sentence Index,Original Sentence,Removed Part,Type,Granularity,Resulting Prompt,Final Prompt
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,code for the following,NP,chunk,Generate <language> : The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,Generate Python : The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,code,NP,minimal,Generate <language> for the following: The reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,Generate Python for the following: The reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,for the following,PP,chunk,Generate <language> code : The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,Generate Python code : The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,the following,NP,minimal,Generate <language> code for : The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,Generate Python code for : The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,The code,NP,minimal,Generate <language> code for the following:  reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,Generate Python code for the following:  reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,in a value from the command line,PP,chunk,Generate <language> code for the following: The code reads and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,Generate Python code for the following: The code reads and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,a value from the command line,NP,chunk,Generate <language> code for the following: The code reads in and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,Generate Python code for the following: The code reads in and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,a value,NP,minimal,Generate <language> code for the following: The code reads in from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,Generate Python code for the following: The code reads in from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,from the command line,PP,chunk,Generate <language> code for the following: The code reads in a value and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in .,Generate Python code for the following: The code reads in a value and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in .
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,the command line,NP,minimal,Generate <language> code for the following: The code reads in a value from and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from .,Generate Python code for the following: The code reads in a value from and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from .
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line,SBAR,minimal,Generate <language> code for the following: The code reads in a value from the command line and adds .,Generate Python code for the following: The code reads in a value from the command line and adds .
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,an offset of 1000 to it.The offset,NP,chunk,Generate <language> code for the following: The code reads in a value from the command line and adds is a constant value that is added to the value read in from the command line.,Generate Python code for the following: The code reads in a value from the command line and adds is a constant value that is added to the value read in from the command line.
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,an offset,NP,minimal,Generate <language> code for the following: The code reads in a value from the command line and adds of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,Generate Python code for the following: The code reads in a value from the command line and adds of 1000 to it.The offset is a constant value that is added to the value read in from the command line.
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,of 1000 to it.The offset,PP,chunk,Generate <language> code for the following: The code reads in a value from the command line and adds an offset is a constant value that is added to the value read in from the command line.,Generate Python code for the following: The code reads in a value from the command line and adds an offset is a constant value that is added to the value read in from the command line.
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,1000 to it.The offset,NP,chunk,Generate <language> code for the following: The code reads in a value from the command line and adds an offset of is a constant value that is added to the value read in from the command line.,Generate Python code for the following: The code reads in a value from the command line and adds an offset of is a constant value that is added to the value read in from the command line.
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,1000 to it.The,QP,minimal,Generate <language> code for the following: The code reads in a value from the command line and adds an offset of offset is a constant value that is added to the value read in from the command line.,Generate Python code for the following: The code reads in a value from the command line and adds an offset of offset is a constant value that is added to the value read in from the command line.
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,offset,VP,minimal,Generate <language> code for the following: The code reads in a value from the command line and adds an of 1000 to it.The is a constant value that is added to the value read in from the command line.,Generate Python code for the following: The code reads in a value from the command line and adds an of 1000 to it.The is a constant value that is added to the value read in from the command line.
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,a constant value,NP,minimal,Generate <language> code for the following: The code reads in a value from the command line and adds an offset of 1000 to it.The offset is that is added to the value read in from the command line.,Generate Python code for the following: The code reads in a value from the command line and adds an offset of 1000 to it.The offset is that is added to the value read in from the command line.
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,that is added to the value read in from the command line,SBAR,clause,Generate <language> code for the following: The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value .,Generate Python code for the following: The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value .
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,that,WHNP,minimal,Generate <language> code for the following: The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value is added to the value read in from the command line.,Generate Python code for the following: The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value is added to the value read in from the command line.
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,the value,NP,minimal,Generate <language> code for the following: The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to read in from the command line.,Generate Python code for the following: The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to read in from the command line.
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,read in from the command line,VP,chunk,Generate <language> code for the following: The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value .,Generate Python code for the following: The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value .
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,in,PRT,minimal,Generate <language> code for the followg: The code reads a value from the command le and adds an offset of 1000 to it.The offset is a constant value that is added to the value read from the command le.,Generate Python code for the followg: The code reads a value from the command le and adds an offset of 1000 to it.The offset is a constant value that is added to the value read from the command le.
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,from the command line,PP,chunk,Generate <language> code for the following: The code reads in a value and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in .,Generate Python code for the following: The code reads in a value and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in .
0,Generate <language> code for the following:  The code reads in a value from the command line and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from the command line.,the command line,NP,minimal,Generate <language> code for the following: The code reads in a value from and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from .,Generate Python code for the following: The code reads in a value from and adds an offset of 1000 to it.The offset is a constant value that is added to the value read in from .
