Sentence Index,Original Sentence,Removed Part,Type,Granularity,Resulting Prompt
0,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists.",> code,PP,chunk,"Generate <language for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists."
0,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists.",code,NP,minimal,"Generate <language> for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists."
0,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists.",for the following,PP,chunk,"Generate <language> code : 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists."
0,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists.",the following,NP,minimal,"Generate <language> code for : 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists."
0,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists.",creates a new file,VP,chunk,"Generate <language> code for the following: 
 The open() function or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists."
0,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists.",a new file,NP,minimal,"Generate <language> code for the following: 
 The open() function creates or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists."
0,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists.",opens an existing file.The O_CREAT flag,VP,chunk,"Generate <language> code for the following: 
 The open() function creates a new file or tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists."
0,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists.",an existing file.The O_CREAT flag,NP,minimal,"Generate <language> code for the following: 
 The open() function creates a new file or opens tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists."
0,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists.",tells open,VP,minimal,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag () to create the file if it doesn't exist.The O_TRUNC flag () to truncate the file to 0 bytes if it already exists.The O_WRONLY flag () to open the file for writing only.The O_EXCL flag () to fail if the file already exists."
0,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists.",open,ADJP,minimal,"Generate <language> code for the following: 
 The () function creates a new file or s an existing file.The O_CREAT flag tells () to create the file if it doesn't exist.The O_TRUNC flag tells () to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells () to the file for writing only.The O_EXCL flag tells () to fail if the file already exists."
0,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists.",to create the file if it doesn't exist.The O_TRUNC flag tells open,VP,minimal,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() () to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists."
0,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists.",to create the file,VP,chunk,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists."
0,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists.",the file,NP,minimal,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create if it doesn't exist.The O_TRUNC flag tells open() to truncate to 0 bytes if it already exists.The O_WRONLY flag tells open() to open for writing only.The O_EXCL flag tells open() to fail if already exists."
0,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists.",it,NP,minimal,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if already exists.The O_WRONLY flag tells open() to open the file for wring only.The O_EXCL flag tells open() to fail if the file already exists."
0,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists.",doesn't exist.The O_TRUNC flag tells open,VP,chunk,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if it () to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists."
0,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists.",exist.The O_TRUNC flag tells open,VP,chunk,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't () to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists."
0,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't exist.The O_TRUNC flag tells open() to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists.",O_TRUNC flag tells open,SBAR,minimal,"Generate <language> code for the following: 
 The open() function creates a new file or opens an existing file.The O_CREAT flag tells open() to create the file if it doesn't exist.The () to truncate the file to 0 bytes if it already exists.The O_WRONLY flag tells open() to open the file for writing only.The O_EXCL flag tells open() to fail if the file already exists."
