Sentence Index,Original Sentence,Removed Part,Type,Granularity,Resulting Prompt
0,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload.",code for the following,NP,chunk,"Generate <language> : 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload. If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
0,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload.",code,NP,minimal,"Generate <language> for the following: 
 The is a simple web application that listens on port 5000.When a request is received the checks if the request contains a parameter called payload. If not it returns an error message.If the payload parameter is present; the parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
0,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload.",for the following,PP,chunk,"Generate <language> code : 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload. If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
0,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload.",the following,NP,minimal,"Generate <language> code for : 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload. If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
0,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload.",The code,NP,minimal,"Generate <language> code for the following: 
 is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload. If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
0,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload.",a simple web application,NP,minimal,"Generate <language> code for the following: 
 The code is that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload. If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
0,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload.",that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload,SBAR,clause,"Generate <language> code for the following: 
 The code is a simple web application . If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
0,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload.",that,WHNP,minimal,"Generate <language> code for the following: 
 The code is a simple web application listens on port 5000.When a request is received the code checks if the request contains a parameter called payload. If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
0,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload.",on port 5000.When,PP,chunk,"Generate <language> code for the following: 
 The code is a simple web application that listens a request is received the code checks if the request contains a parameter called payload. If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
0,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload.",port 5000.When,NP,minimal,"Generate <language> code for the following: 
 The code is a simple web application that listens on a request is received the code checks if the request contains a parameter called payload. If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
0,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload.",a request,NP,minimal,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When is received the code checks if the request contains a parameter called payload. If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
0,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload.",the code checks,NP,minimal,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received if the request contains a parameter called payload. If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
0,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload.",if the request contains a parameter called payload,SBAR,minimal,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks . If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
0,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload.",the request,NP,minimal,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if contains a parameter called payload. If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
0,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload.",contains a parameter called payload,VP,chunk,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request . If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
0,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload.",a parameter called payload,NP,chunk,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains . If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
0,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload.",a parameter,NP,minimal,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains called payload. If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
0,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload.",called payload,VP,minimal,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter . If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
0,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload.",payload,NP,minimal,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called . If not it returns an error message.If the parameter is present; the code parses the as YAML and checks if the type is Create. If it is it returns an error message."
1,If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create.,If not it returns an error message.If,SBAR,minimal,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload. the payload parameter is present; the code parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
1,If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create.,it,NP,minimal,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload. If not returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create. If is returns an error message."
1,If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create.,returns an error message.If,VP,chunk,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload. If not it the payload parameter is present; the code parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
1,If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create.,an error message.If,NP,minimal,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload. If not it returns the payload parameter is present; the code parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
1,If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create.,the payload parameter,NP,minimal,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload. If not it returns an error message.If is present; the code parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
1,If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create.,is present,VP,chunk,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload. If not it returns an error message.If the payload parameter ; the code parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
1,If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create.,present,ADJP,minimal,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload. If not it returns an error message.If the payload parameter is ; the code parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
1,If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create.,the code,NP,minimal,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received checks if the request contains a parameter called payload. If not it returns an error message.If the payload parameter is present; parses the payload as YAML and checks if the type is Create. If it is it returns an error message."
1,If not it returns an error message.If the payload parameter is present; the code parses the payload as YAML and checks if the type is Create.,the payload as YAML and checks,NP,chunk,"Generate <language> code for the following: 
 The code is a simple web application that listens on port 5000.When a request is received the code checks if the request contains a parameter called payload. If not it returns an error message.If the payload parameter is present; the code parses if the type is Create. If it is it returns an error message."
