Sentence Index,Original Sentence,Removed Part,Type,Granularity,Resulting Prompt,Final Prompt
0,"Generate <language> code for the following: 
 Open the archive.zip file as a tarfile.Unzip all the files from the archive to the /tmp/unpack directory.",code,NP,minimal,"Generate <language> for the following: 
 Open the archive.zip file as a tarfile.Unzip all the files from the archive to the /tmp/unpack directory.","Generate Python for the following: 
 Open the archive.zip file as a tarfile.Unzip all the files from the archive to the /tmp/unpack directory."
0,"Generate <language> code for the following: 
 Open the archive.zip file as a tarfile.Unzip all the files from the archive to the /tmp/unpack directory.",for the following,PP,chunk,"Generate <language> code : 
 Open the archive.zip file as a tarfile.Unzip all the files from the archive to the /tmp/unpack directory.","Generate Python code : 
 Open the archive.zip file as a tarfile.Unzip all the files from the archive to the /tmp/unpack directory."
0,"Generate <language> code for the following: 
 Open the archive.zip file as a tarfile.Unzip all the files from the archive to the /tmp/unpack directory.",the following,NP,minimal,"Generate <language> code for : 
 Open the archive.zip file as a tarfile.Unzip all the files from the archive to the /tmp/unpack directory.","Generate Python code for : 
 Open the archive.zip file as a tarfile.Unzip all the files from the archive to the /tmp/unpack directory."
0,"Generate <language> code for the following: 
 Open the archive.zip file as a tarfile.Unzip all the files from the archive to the /tmp/unpack directory.",the archive.zip file,NP,minimal,"Generate <language> code for the following: 
 Open as a tarfile.Unzip all the files from the archive to the /tmp/unpack directory.","Generate Python code for the following: 
 Open as a tarfile.Unzip all the files from the archive to the /tmp/unpack directory."
0,"Generate <language> code for the following: 
 Open the archive.zip file as a tarfile.Unzip all the files from the archive to the /tmp/unpack directory.",as a tarfile.Unzip,PP,chunk,"Generate <language> code for the following: 
 Open the archive.zip file all the files from the archive to the /tmp/unpack directory.","Generate Python code for the following: 
 Open the archive.zip file all the files from the archive to the /tmp/unpack directory."
0,"Generate <language> code for the following: 
 Open the archive.zip file as a tarfile.Unzip all the files from the archive to the /tmp/unpack directory.",a tarfile.Unzip,NP,minimal,"Generate <language> code for the following: 
 Open the archive.zip file as all the files from the archive to the /tmp/unpack directory.","Generate Python code for the following: 
 Open the archive.zip file as all the files from the archive to the /tmp/unpack directory."
0,"Generate <language> code for the following: 
 Open the archive.zip file as a tarfile.Unzip all the files from the archive to the /tmp/unpack directory.",all the files from the archive,NP,chunk,"Generate <language> code for the following: 
 Open the archive.zip file as a tarfile.Unzip to the /tmp/unpack directory.","Generate Python code for the following: 
 Open the archive.zip file as a tarfile.Unzip to the /tmp/unpack directory."
0,"Generate <language> code for the following: 
 Open the archive.zip file as a tarfile.Unzip all the files from the archive to the /tmp/unpack directory.",all the files,NP,minimal,"Generate <language> code for the following: 
 Open the archive.zip file as a tarfile.Unzip from the archive to the /tmp/unpack directory.","Generate Python code for the following: 
 Open the archive.zip file as a tarfile.Unzip from the archive to the /tmp/unpack directory."
0,"Generate <language> code for the following: 
 Open the archive.zip file as a tarfile.Unzip all the files from the archive to the /tmp/unpack directory.",from the archive,PP,chunk,"Generate <language> code for the following: 
 Open the archive.zip file as a tarfile.Unzip all the files to the /tmp/unpack directory.","Generate Python code for the following: 
 Open the archive.zip file as a tarfile.Unzip all the files to the /tmp/unpack directory."
0,"Generate <language> code for the following: 
 Open the archive.zip file as a tarfile.Unzip all the files from the archive to the /tmp/unpack directory.",the archive,NP,minimal,"Generate <language> code for the following: 
 Open .zip file as a tarfile.Unzip all the files from to the /tmp/unpack directory.","Generate Python code for the following: 
 Open .zip file as a tarfile.Unzip all the files from to the /tmp/unpack directory."
0,"Generate <language> code for the following: 
 Open the archive.zip file as a tarfile.Unzip all the files from the archive to the /tmp/unpack directory.",to the /tmp/unpack directory,PP,chunk,"Generate <language> code for the following: 
 Open the archive.zip file as a tarfile.Unzip all the files from the archive .","Generate Python code for the following: 
 Open the archive.zip file as a tarfile.Unzip all the files from the archive ."
0,"Generate <language> code for the following: 
 Open the archive.zip file as a tarfile.Unzip all the files from the archive to the /tmp/unpack directory.",the /tmp/unpack directory,NP,minimal,"Generate <language> code for the following: 
 Open the archive.zip file as a tarfile.Unzip all the files from the archive to .","Generate Python code for the following: 
 Open the archive.zip file as a tarfile.Unzip all the files from the archive to ."
