Sentence Index,Original Sentence,Removed Part,Type,Granularity,Resulting Prompt,Final Prompt
0,"Generate <language> code for the following: 
 The first function is the login function.",code for the following,NP,chunk,"Generate <language> : 
 The first function is the login function. It is a GET request. It will return a form for the user to enter their username and password. The second function is the do_login function. It is a POST request. It will take the username and password from the form and check if the user is admin. If it is it will redirect the user to the admin_page. If it is not it will return.","Generate Python : 
 The first function is the login function. It is a GET request. It will return a form for the user to enter their username and password. The second function is the do_login function. It is a POST request. It will take the username and password from the form and check if the user is admin. If it is it will redirect the user to the admin_page. If it is not it will return."
0,"Generate <language> code for the following: 
 The first function is the login function.",code,NP,minimal,"Generate <language> for the following: 
 The first function is the login function. It is a GET request. It will return a form for the user to enter their username and password. The second function is the do_login function. It is a POST request. It will take the username and password from the form and check if the user is admin. If it is it will redirect the user to the admin_page. If it is not it will return.","Generate Python for the following: 
 The first function is the login function. It is a GET request. It will return a form for the user to enter their username and password. The second function is the do_login function. It is a POST request. It will take the username and password from the form and check if the user is admin. If it is it will redirect the user to the admin_page. If it is not it will return."
0,"Generate <language> code for the following: 
 The first function is the login function.",for the following,PP,chunk,"Generate <language> code : 
 The first function is the login function. It is a GET request. It will return a form for the user to enter their username and password. The second function is the do_login function. It is a POST request. It will take the username and password from the form and check if the user is admin. If it is it will redirect the user to the admin_page. If it is not it will return.","Generate Python code : 
 The first function is the login function. It is a GET request. It will return a form for the user to enter their username and password. The second function is the do_login function. It is a POST request. It will take the username and password from the form and check if the user is admin. If it is it will redirect the user to the admin_page. If it is not it will return."
0,"Generate <language> code for the following: 
 The first function is the login function.",the following,NP,minimal,"Generate <language> code for : 
 The first function is the login function. It is a GET request. It will return a form for the user to enter their username and password. The second function is the do_login function. It is a POST request. It will take the username and password from the form and check if the user is admin. If it is it will redirect the user to the admin_page. If it is not it will return.","Generate Python code for : 
 The first function is the login function. It is a GET request. It will return a form for the user to enter their username and password. The second function is the do_login function. It is a POST request. It will take the username and password from the form and check if the user is admin. If it is it will redirect the user to the admin_page. If it is not it will return."
0,"Generate <language> code for the following: 
 The first function is the login function.",The first function,NP,minimal,"Generate <language> code for the following: 
 is the login function. It is a GET request. It will return a form for the user to enter their username and password. The second function is the do_login function. It is a POST request. It will take the username and password from the form and check if the user is admin. If it is it will redirect the user to the admin_page. If it is not it will return.","Generate Python code for the following: 
 is the login function. It is a GET request. It will return a form for the user to enter their username and password. The second function is the do_login function. It is a POST request. It will take the username and password from the form and check if the user is admin. If it is it will redirect the user to the admin_page. If it is not it will return."
0,"Generate <language> code for the following: 
 The first function is the login function.",is the login function,VP,chunk,"Generate <language> code for the following: 
 The first function . It is a GET request. It will return a form for the user to enter their username and password. The second function is the do_login function. It is a POST request. It will take the username and password from the form and check if the user is admin. If it is it will redirect the user to the admin_page. If it is not it will return.","Generate Python code for the following: 
 The first function . It is a GET request. It will return a form for the user to enter their username and password. The second function is the do_login function. It is a POST request. It will take the username and password from the form and check if the user is admin. If it is it will redirect the user to the admin_page. If it is not it will return."
0,"Generate <language> code for the following: 
 The first function is the login function.",the login function,NP,minimal,"Generate <language> code for the following: 
 The first function is . It is a GET request. It will return a form for the user to enter their username and password. The second function is the do_login function. It is a POST request. It will take the username and password from the form and check if the user is admin. If it is it will redirect the user to the admin_page. If it is not it will return.","Generate Python code for the following: 
 The first function is . It is a GET request. It will return a form for the user to enter their username and password. The second function is the do_login function. It is a POST request. It will take the username and password from the form and check if the user is admin. If it is it will redirect the user to the admin_page. If it is not it will return."
1,It is a GET request.,It,NP,minimal,"Generate <language> code for the following: 
 The first function is the login function. is a GET request. will return a form for the user to enter their username and password. The second function is the do_login function. is a POST request. will take the username and password from the form and check if the user is admin. If it is it will redirect the user to the admin_page. If it is not it will return.","Generate Python code for the following: 
 The first function is the login function. is a GET request. will return a form for the user to enter their username and password. The second function is the do_login function. is a POST request. will take the username and password from the form and check if the user is admin. If it is it will redirect the user to the admin_page. If it is not it will return."
1,It is a GET request.,is a GET request,VP,chunk,"Generate <language> code for the following: 
 The first function is the login function. It . It will return a form for the user to enter their username and password. The second function is the do_login function. It is a POST request. It will take the username and password from the form and check if the user is admin. If it is it will redirect the user to the admin_page. If it is not it will return.","Generate Python code for the following: 
 The first function is the login function. It . It will return a form for the user to enter their username and password. The second function is the do_login function. It is a POST request. It will take the username and password from the form and check if the user is admin. If it is it will redirect the user to the admin_page. If it is not it will return."
1,It is a GET request.,a GET request,NP,minimal,"Generate <language> code for the following: 
 The first function is the login function. It is . It will return a form for the user to enter their username and password. The second function is the do_login function. It is a POST request. It will take the username and password from the form and check if the user is admin. If it is it will redirect the user to the admin_page. If it is not it will return.","Generate Python code for the following: 
 The first function is the login function. It is . It will return a form for the user to enter their username and password. The second function is the do_login function. It is a POST request. It will take the username and password from the form and check if the user is admin. If it is it will redirect the user to the admin_page. If it is not it will return."
