Sentence Index,Original Sentence,Removed Part,Type,Granularity,Resulting Prompt,Final Prompt
0,"Generate <language> code for the following: 
 The rand() function generates a random number.",code,NP,minimal,"Generate <language> for the following: 
 The rand() function generates a random number. This generates three random floats and converts them to strings using the sprintf function. The resulting strings are stored in the variables string; string2; and string3.","Generate Python for the following: 
 The rand() function generates a random number. This generates three random floats and converts them to strings using the sprintf function. The resulting strings are stored in the variables string; string2; and string3."
0,"Generate <language> code for the following: 
 The rand() function generates a random number.",for the following,PP,chunk,"Generate <language> code : 
 The rand() function generates a random number. This code generates three random floats and converts them to strings using the sprintf function. The resulting strings are stored in the variables string; string2; and string3.","Generate Python code : 
 The rand() function generates a random number. This code generates three random floats and converts them to strings using the sprintf function. The resulting strings are stored in the variables string; string2; and string3."
0,"Generate <language> code for the following: 
 The rand() function generates a random number.",the following,NP,minimal,"Generate <language> code for : 
 The rand() function generates a random number. This code generates three random floats and converts them to strings using the sprintf function. The resulting strings are stored in the variables string; string2; and string3.","Generate Python code for : 
 The rand() function generates a random number. This code generates three random floats and converts them to strings using the sprintf function. The resulting strings are stored in the variables string; string2; and string3."
0,"Generate <language> code for the following: 
 The rand() function generates a random number.",generates a random number,VP,chunk,"Generate <language> code for the following: 
 The rand() function . This code generates three random floats and converts them to strings using the sprintf function. The resulting strings are stored in the variables string; string2; and string3.","Generate Python code for the following: 
 The rand() function . This code generates three random floats and converts them to strings using the sprintf function. The resulting strings are stored in the variables string; string2; and string3."
0,"Generate <language> code for the following: 
 The rand() function generates a random number.",a random number,NP,minimal,"Generate <language> code for the following: 
 The rand() function generates . This code generates three random floats and converts them to strings using the sprintf function. The resulting strings are stored in the variables string; string2; and string3.","Generate Python code for the following: 
 The rand() function generates . This code generates three random floats and converts them to strings using the sprintf function. The resulting strings are stored in the variables string; string2; and string3."
1,This code generates three random floats and converts them to strings using the sprintf function.,This code,NP,minimal,"Generate <language> code for the following: 
 The rand() function generates a random number. generates three random floats and converts them to strings using the sprintf function. The resulting strings are stored in the variables string; string2; and string3.","Generate Python code for the following: 
 The rand() function generates a random number. generates three random floats and converts them to strings using the sprintf function. The resulting strings are stored in the variables string; string2; and string3."
1,This code generates three random floats and converts them to strings using the sprintf function.,generates three random floats,VP,chunk,"Generate <language> code for the following: 
 The rand() function generates a random number. This code and converts them to strings using the sprintf function. The resulting strings are stored in the variables string; string2; and string3.","Generate Python code for the following: 
 The rand() function generates a random number. This code and converts them to strings using the sprintf function. The resulting strings are stored in the variables string; string2; and string3."
1,This code generates three random floats and converts them to strings using the sprintf function.,three random floats,NP,minimal,"Generate <language> code for the following: 
 The rand() function generates a random number. This code generates and converts them to strings using the sprintf function. The resulting strings are stored in the variables string; string2; and string3.","Generate Python code for the following: 
 The rand() function generates a random number. This code generates and converts them to strings using the sprintf function. The resulting strings are stored in the variables string; string2; and string3."
1,This code generates three random floats and converts them to strings using the sprintf function.,them,NP,minimal,"Generate <language> code for the following: 
 The rand() function generates a random number. This code generates three random floats and converts to strings using the sprintf function. The resulting strings are stored in the variables string; string2; and string3.","Generate Python code for the following: 
 The rand() function generates a random number. This code generates three random floats and converts to strings using the sprintf function. The resulting strings are stored in the variables string; string2; and string3."
1,This code generates three random floats and converts them to strings using the sprintf function.,to strings using the sprintf function,PP,chunk,"Generate <language> code for the following: 
 The rand() function generates a random number. This code generates three random floats and converts them . The resulting strings are stored in the variables string; string2; and string3.","Generate Python code for the following: 
 The rand() function generates a random number. This code generates three random floats and converts them . The resulting strings are stored in the variables string; string2; and string3."
