Sentence Index,Original Sentence,Removed Part,Type,Granularity,Resulting Prompt
0,Generate <language> code for the following:  There is a login page that takes in username and password.,code for the following,NP,chunk,Generate <language> : There is a login page that takes in username and password. There is a database that stores the username and password. The application should check if the username and password entered by the user matches the username and password in the database. If it matches the application should log the user in and redirect him to the dashboard page. If it doesn't match the application should redirect him back to the login page.
0,Generate <language> code for the following:  There is a login page that takes in username and password.,code,NP,minimal,Generate <language> for the following: There is a login page that takes in username and password. There is a database that stores the username and password. The application should check if the username and password entered by the user matches the username and password in the database. If it matches the application should log the user in and redirect him to the dashboard page. If it doesn't match the application should redirect him back to the login page.
0,Generate <language> code for the following:  There is a login page that takes in username and password.,for the following,PP,chunk,Generate <language> code : There is a login page that takes in username and password. There is a database that stores the username and password. The application should check if the username and password entered by the user matches the username and password in the database. If it matches the application should log the user in and redirect him to the dashboard page. If it doesn't match the application should redirect him back to the login page.
0,Generate <language> code for the following:  There is a login page that takes in username and password.,the following,NP,minimal,Generate <language> code for : There is a login page that takes in username and password. There is a database that stores the username and password. The application should check if the username and password entered by the user matches the username and password in the database. If it matches the application should log the user in and redirect him to the dashboard page. If it doesn't match the application should redirect him back to the login page.
0,Generate <language> code for the following:  There is a login page that takes in username and password.,There,NP,minimal,Generate <language> code for the following:  is a login page that takes in username and password. is a database that stores the username and password. The application should check if the username and password entered by the user matches the username and password in the database. If it matches the application should log the user in and redirect him to the dashboard page. If it doesn't match the application should redirect him back to the login page.
0,Generate <language> code for the following:  There is a login page that takes in username and password.,a login page,NP,minimal,Generate <language> code for the following: There is that takes in username and password. There is a database that stores the username and password. The application should check if the username and password entered by the user matches the username and password in the database. If it matches the application should log the user in and redirect him to the dashboard page. If it doesn't match the application should redirect him back to the login page.
0,Generate <language> code for the following:  There is a login page that takes in username and password.,that takes in username and password,SBAR,chunk,Generate <language> code for the following: There is a login page . There is a database that stores the username and password. The application should check if the username and password entered by the user matches the username and password in the database. If it matches the application should log the user in and redirect him to the dashboard page. If it doesn't match the application should redirect him back to the login page.
0,Generate <language> code for the following:  There is a login page that takes in username and password.,that,WHNP,minimal,Generate <language> code for the following: There is a login page takes in username and password. There is a database stores the username and password. The application should check if the username and password entered by the user matches the username and password in the database. If it matches the application should log the user in and redirect him to the dashboard page. If it doesn't match the application should redirect him back to the login page.
0,Generate <language> code for the following:  There is a login page that takes in username and password.,takes in username and password,VP,chunk,Generate <language> code for the following: There is a login page that . There is a database that stores the username and password. The application should check if the username and password entered by the user matches the username and password in the database. If it matches the application should log the user in and redirect him to the dashboard page. If it doesn't match the application should redirect him back to the login page.
0,Generate <language> code for the following:  There is a login page that takes in username and password.,in,PRT,minimal,Generate <language> code for the followg: There is a log page that takes username and password. There is a database that stores the username and password. The application should check if the username and password entered by the user matches the username and password the database. If it matches the application should log the user and redirect him to the dashboard page. If it doesn't match the application should redirect him back to the log page.
0,Generate <language> code for the following:  There is a login page that takes in username and password.,username and password,NP,minimal,Generate <language> code for the following: There is a login page that takes in . There is a database that stores the . The application should check if the entered by the user matches the in the database. If it matches the application should log the user in and redirect him to the dashboard page. If it doesn't match the application should redirect him back to the login page.
1,There is a database that stores the username and password.,There,NP,minimal,Generate <language> code for the following:  is a login page that takes in username and password. is a database that stores the username and password. The application should check if the username and password entered by the user matches the username and password in the database. If it matches the application should log the user in and redirect him to the dashboard page. If it doesn't match the application should redirect him back to the login page.
1,There is a database that stores the username and password.,a database,NP,minimal,Generate <language> code for the following: There is a login page that takes in username and password. There is that stores the username and password. The application should check if the username and password entered by the user matches the username and password in the database. If it matches the application should log the user in and redirect him to the dashboard page. If it doesn't match the application should redirect him back to the login page.
1,There is a database that stores the username and password.,that stores the username and password,SBAR,chunk,Generate <language> code for the following: There is a login page that takes in username and password. There is a database . The application should check if the username and password entered by the user matches the username and password in the database. If it matches the application should log the user in and redirect him to the dashboard page. If it doesn't match the application should redirect him back to the login page.
1,There is a database that stores the username and password.,that,WHNP,minimal,Generate <language> code for the following: There is a login page takes in username and password. There is a database stores the username and password. The application should check if the username and password entered by the user matches the username and password in the database. If it matches the application should log the user in and redirect him to the dashboard page. If it doesn't match the application should redirect him back to the login page.
1,There is a database that stores the username and password.,stores the username and password,VP,chunk,Generate <language> code for the following: There is a login page that takes in username and password. There is a database that . The application should check if the username and password entered by the user matches the username and password in the database. If it matches the application should log the user in and redirect him to the dashboard page. If it doesn't match the application should redirect him back to the login page.
1,There is a database that stores the username and password.,the username and password,NP,minimal,Generate <language> code for the following: There is a login page that takes in username and password. There is a database that stores . The application should check if entered by the user matches in the database. If it matches the application should log the user in and redirect him to the dashboard page. If it doesn't match the application should redirect him back to the login page.
2,The application should check if the username and password entered by the user matches the username and password in the database.,The application,NP,minimal,Generate <language> code for the following: There is a login page that takes in username and password. There is a database that stores the username and password. should check if the username and password entered by the user matches the username and password in the database. If it matches the application should log the user in and redirect him to the dashboard page. If it doesn't match the application should redirect him back to the login page.
