Category,Value,Base,Result,Frequency
Syntagm Type,ADJP,3,1,33.33%
Syntagm Type,ADVP,4,1,25.00%
Syntagm Type,NP,190,69,36.32%
Syntagm Type,PP,64,19,29.69%
Syntagm Type,PRT,1,0,0.00%
Syntagm Type,QP,2,0,0.00%
Syntagm Type,SBAR,26,14,53.85%
Syntagm Type,VP,54,22,40.74%
Syntagm Type,WHADVP,3,1,33.33%
Syntagm Type,WHNP,6,3,50.00%
Granularity,chunk,142,47,33.10%
Granularity,clause,3,2,66.67%
Granularity,minimal,208,81,38.94%
Sentence Index,0,249,67,26.91%
Sentence Index,1,41,22,53.66%
Sentence Index,2,41,28,68.29%
Sentence Index,3,11,6,54.55%
Sentence Index,4,7,4,57.14%
Sentence Index,5,1,1,100.00%
Sentence Index,6,1,0,0.00%
Sentence Index,7,2,2,100.00%
