Category,Value,Base,Result,Frequency
Syntagm Type,ADJP,3,2,66.67%
Syntagm Type,ADVP,4,1,25.00%
Syntagm Type,NP,190,84,44.21%
Syntagm Type,PP,64,18,28.12%
Syntagm Type,PRT,1,0,0.00%
Syntagm Type,QP,2,0,0.00%
Syntagm Type,SBAR,26,15,57.69%
Syntagm Type,VP,54,29,53.70%
Syntagm Type,WHADVP,3,2,66.67%
Syntagm Type,WHNP,6,2,33.33%
Granularity,chunk,142,53,37.32%
Granularity,clause,3,2,66.67%
Granularity,minimal,208,98,47.12%
Sentence Index,0,249,83,33.33%
Sentence Index,1,41,25,60.98%
Sentence Index,2,41,30,73.17%
Sentence Index,3,11,7,63.64%
Sentence Index,4,7,4,57.14%
Sentence Index,5,1,1,100.00%
Sentence Index,6,1,1,100.00%
Sentence Index,7,2,2,100.00%
