Category,Value,Base,Result,Frequency
Syntagm Type,ADJP,3,2,66.67%
Syntagm Type,ADVP,4,1,25.00%
Syntagm Type,NP,190,120,63.16%
Syntagm Type,PP,64,31,48.44%
Syntagm Type,PRT,1,0,0.00%
Syntagm Type,QP,2,0,0.00%
Syntagm Type,SBAR,26,21,80.77%
Syntagm Type,VP,54,39,72.22%
Syntagm Type,WHADVP,3,2,66.67%
Syntagm Type,WHNP,6,3,50.00%
Granularity,chunk,142,77,54.23%
Granularity,clause,3,6,200.00%
Granularity,minimal,208,136,65.38%
Sentence Index,0,249,122,49.00%
Sentence Index,1,41,36,87.80%
Sentence Index,2,41,45,109.76%
Sentence Index,3,11,8,72.73%
Sentence Index,4,7,4,57.14%
Sentence Index,5,1,1,100.00%
Sentence Index,6,1,1,100.00%
Sentence Index,7,2,2,100.00%
