Category,Value,Base,Result,Frequency
Syntagm Type,ADJP,3,0,0.00%
Syntagm Type,ADVP,4,0,0.00%
Syntagm Type,NP,190,2,1.05%
Syntagm Type,PP,64,1,1.56%
Syntagm Type,PRT,1,0,0.00%
Syntagm Type,QP,2,0,0.00%
Syntagm Type,SBAR,26,0,0.00%
Syntagm Type,VP,54,0,0.00%
Syntagm Type,WHADVP,3,0,0.00%
Syntagm Type,WHNP,6,0,0.00%
Granularity,chunk,142,2,1.41%
Granularity,clause,3,0,0.00%
Granularity,minimal,208,1,0.48%
Sentence Index,0,249,3,1.20%
Sentence Index,1,41,0,0.00%
Sentence Index,2,41,0,0.00%
Sentence Index,3,11,0,0.00%
Sentence Index,4,7,0,0.00%
Sentence Index,5,1,0,0.00%
Sentence Index,6,1,0,0.00%
Sentence Index,7,2,0,0.00%
